House_ID,SquareFeet,Bedrooms,Bathrooms,Neighborhood,Price
H_0000,1754.8032872527654,2,1.5,Rural,298731.41289985477
H_0001,1310.025979924419,3,2.5,Suburbs,254945.22122901032
H_0002,1835.5809090438809,3,2.0,Suburbs,313858.1693583729
H_0003,2266.36548614856,4,2.5,Downtown,427131.76470997627
H_0004,1582.9580632966888,5,3.5,Suburbs,326681.9572652963
H_0005,2150.840791514517,4,2.5,Suburbs,376616.19624576083
H_0006,1985.4895429561727,1,1.0,Suburbs,318311.22195803374
H_0007,2031.126756352456,2,1.5,Downtown,364316.46292332344
H_0008,1606.2763277654526,2,2.0,Downtown,327854.924927924
H_0009,1658.1503268266022,3,2.0,Suburbs,285841.01821859926
H_0010,1061.2910262114394,4,2.5,Downtown,271489.18842432194
H_0011,1573.3322349959578,5,3.5,Downtown,363184.63688446296
H_0012,2265.394183212504,3,2.0,Downtown,403009.6110298442
H_0013,1428.2671223590905,5,3.5,Downtown,363997.9596492297
H_0014,1487.8793384572382,4,3.0,Downtown,325616.71494463127
H_0015,2056.0759294828495,3,2.0,Suburbs,347182.30064825236
H_0016,1961.1073167972374,4,2.5,Suburbs,336281.54353427264
H_0017,2075.94529991852,3,2.5,Rural,318269.37724678504
H_0018,1334.7117839638383,2,1.5,Suburbs,232305.46547383026
H_0019,2825.6231797201385,3,2.0,Suburbs,415216.6124435536
H_0020,1313.6986503330997,3,2.0,Downtown,309900.42915424966
H_0021,1861.6989254936273,3,2.5,Downtown,364872.636730537
H_0022,1736.5378016525653,3,2.0,Suburbs,307674.3103091448
H_0023,1325.343393053981,3,2.0,Downtown,297608.5631320211
H_0024,1651.9162308747,3,2.5,Suburbs,273310.8999984372
H_0025,1809.3230403543478,3,1.5,Suburbs,328366.4437983656
H_0026,1540.010715254612,3,2.0,Suburbs,290852.65216216975
H_0027,2174.8894486139397,3,2.0,Downtown,397482.3192003741
H_0028,1735.3497018150115,3,2.0,Suburbs,304288.6524202833
H_0029,1263.4901315926854,1,1.0,Suburbs,232249.1080385663
H_0030,1229.5497869322812,3,2.0,Downtown,285690.3993939378
H_0031,2042.4660362445825,2,1.5,Suburbs,320567.65677149163
H_0032,1205.2916869198655,3,2.0,Suburbs,243289.48993049446
H_0033,1926.5704292196335,4,3.0,Rural,304302.08555303724
H_0034,1977.8620742667836,3,2.0,Downtown,395199.8288668194
H_0035,1401.8578544303932,3,2.0,Rural,230689.4308270356
H_0036,2156.2952335099562,5,3.0,Suburbs,371994.88989628514
H_0037,1112.882550495347,4,2.5,Suburbs,252675.48850755158
H_0038,1918.5835735994235,5,3.0,Downtown,388098.06909046066
H_0039,1783.6568265615965,4,3.0,Suburbs,354261.99760425475
H_0040,1752.4008097076426,2,1.5,Downtown,364025.54261862015
H_0041,1328.8413428077708,2,1.0,Suburbs,247163.39329074774
H_0042,1425.1911982400297,3,2.0,Downtown,322462.90911610203
H_0043,2447.520810008239,2,1.5,Rural,349439.1184682782
H_0044,2286.0620035487013,3,2.0,Suburbs,361991.01863706054
H_0045,2096.8338354095195,3,2.0,Suburbs,351079.704934355
H_0046,2175.939241411875,3,2.0,Downtown,392265.71981255733
H_0047,2138.4054178685074,4,3.0,Downtown,424165.9264208236
H_0048,1670.6575150855165,4,3.0,Suburbs,323496.6059557314
H_0049,1819.0414207257406,3,2.0,Suburbs,307613.67897233885
H_0050,1210.9966487835964,4,3.0,Downtown,296393.0709417108
H_0051,1764.1217492769895,3,2.5,Suburbs,288507.4545435201
H_0052,2273.365699815675,4,2.5,Rural,374673.21248136635
H_0053,1535.7171006971457,1,1.0,Suburbs,241551.0915760243
H_0054,2209.2564818748906,5,3.5,Suburbs,387129.6922847375
H_0055,1836.6342954775052,3,2.0,Rural,289898.4492322365
H_0056,1245.8512537321071,3,2.5,Downtown,298735.2650912019
H_0057,1357.0721946614754,2,1.5,Suburbs,254047.06479459308
H_0058,2167.721147883102,3,2.5,Rural,319436.5889483973
H_0059,2021.009634103354,2,1.5,Downtown,355441.1370153388
H_0060,1840.70562919505,2,1.5,Suburbs,281179.69586882123
H_0061,1690.3872743008217,3,2.0,Suburbs,289157.64442345593
H_0062,1884.2271910514341,3,2.0,Suburbs,306829.50580605277
H_0063,2152.1184997012997,3,1.5,Suburbs,348699.9693845396
H_0064,2390.341312194914,5,3.0,Rural,401454.6396247894
H_0065,2409.473679776242,3,2.0,Suburbs,378477.6684848937
H_0066,1948.7839603033992,3,2.0,Downtown,373189.3123163896
H_0067,1731.2273238541918,1,1.0,Rural,242501.29721866618
H_0068,1858.4992031275422,4,2.5,Downtown,376935.52950712404
H_0069,2008.848142902032,3,2.0,Suburbs,335050.90861247096
H_0070,2007.2267775380367,5,4.0,Suburbs,373980.2516417846
H_0071,2323.194654856042,4,2.5,Suburbs,402054.6244041747
H_0072,2646.302288766662,3,2.5,Suburbs,427604.4726480848
H_0073,1717.8981481543653,2,1.5,Rural,287000.56108948914
H_0074,2662.353963529785,4,3.0,Suburbs,438022.86731616076
H_0075,2268.8956987033575,4,2.5,Suburbs,415784.66736464255
H_0076,1759.6708039259167,2,1.5,Downtown,329513.2693502154
